"","NOC691","V1","V2","V3","V4"
"181","3211 Medical laboratory technologists",20890,0,0,0
"182","3212 Medical laboratory technicians and pathologists' assistants",23365,0,0,0
"183","3213 Animal health technologists and veterinary technicians",15995,0,0,0
"184","3214 Respiratory therapists, clinical perfusionists and cardiopulmonary technologists",11475,0,0,0
"185","3215 Medical radiation technologists",20215,0,0,0
"186","3216 Medical sonographers",5290,0,0,0
"187","3217 Cardiology technologists and electrophysiological diagnostic technologists, n.e.c.",3010,0,0,0
"188","3219 Other medical technologists and technicians (except dental health)",51705,0,0,0
"189","3221 Denturists",2310,0,0,0
"190","3222 Dental hygienists and dental therapists",26720,0,0,0
"191","3223 Dental technologists, technicians and laboratory assistants",5725,0,0,0
"192","3231 Opticians",8780,0,0,0
"193","3232 Practitioners of natural healing",8960,0,0,0
"194","3233 Licensed practical nurses",72765,0,0,0
"195","3234 Paramedical occupations",28205,0,0,0
"196","3236 Massage therapists",32795,0,0,0
"197","3237 Other technical occupations in therapy and assessment",11520,0,0,0
"198","3411 Dental assistants",34180,0,0,0
"199","3413 Nurse aides, orderlies and patient service associates",258995,0,0,0
"200","3414 Other assisting occupations in support of health services",36240,0,0,0
"201","4011 University professors and lecturers",72395,0,0,0
"202","4012 Post-secondary teaching and research assistants",77585,0,0,0
"203","4021 College and other vocational instructors",95525,0,0,0
"204","4031 Secondary school teachers",168070,0,0,0
"205","4032 Elementary school and kindergarten teachers",296080,0,0,0
"206","4033 Educational counsellors",23495,0,0,0
"207","4111 Judges",3305,0,0,0
"208","4112 Lawyers and Quebec notaries",89230,0,0,0
"209","4151 Psychologists",23485,0,0,0
"210","4152 Social workers",60350,0,0,0
"211","4153 Family, marriage and other related counsellors",26455,0,0,0
"212","4154 Professional occupations in religion",29485,0,0,0
"213","4155 Probation and parole officers and related occupations",5990,0,0,0
"214","4156 Employment counsellors",14340,0,0,0
"215","4161 Natural and applied science policy researchers, consultants and program officers",27035,0,0,0
"216","4162 Economists and economic policy researchers and analysts",18595,0,0,0
"217","4163 Business development officers and marketing researchers and consultants",64170,0,0,0
"218","4164 Social policy researchers, consultants and program officers",33855,0,0,0
"219","4165 Health policy researchers, consultants and program officers",33475,0,0,0
"220","4166 Education policy researchers, consultants and program officers",24165,0,0,0
"221","4167 Recreation, sports and fitness policy researchers, consultants and program officers",10850,0,0,0
"222","4168 Program officers unique to government",22215,0,0,0
"223","4169 Other professional occupations in social science, n.e.c.",6260,0,0,0
"224","4211 Paralegal and related occupations",29255,0,0,0
"225","4212 Social and community service workers",147310,0,0,0
"226","4214 Early childhood educators and assistants",202765,0,0,0
"227","4215 Instructors of persons with disabilities",21645,0,0,0
"228","4216 Other instructors",29385,0,0,0
"229","4217 Other religious occupations",8310,0,0,0
"230","4311 Police officers (except commissioned)",78680,0,0,0
"231","4312 Firefighters",33735,0,0,0
"232","4313 Non-commissioned ranks of the Canadian Armed Forces",47690,0,0,0
"233","4411 Home child care providers",84855,0,0,0
"234","4412 Home support workers, housekeepers and related occupations",101220,0,0,0
"235","4413 Elementary and secondary school teacher assistants",129025,0,0,0
"236","4421 Sheriffs and bailiffs",3065,0,0,0
"237","4422 Correctional service officers",24150,0,0,0
"238","4423 By-law enforcement and other regulatory officers, n.e.c.",10345,0,0,0
"239","5111 Librarians",9570,0,0,0
"240","5112 Conservators and curators",1995,0,0,0
"241","5113 Archivists",1950,0,0,0
"242","5121 Authors and writers",26210,0,0,0
"243","5122 Editors",17575,0,0,0
"244","5123 Journalists",12085,0,0,0
"245","5125 Translators, terminologists and interpreters",17420,0,0,0
"246","5131 Producers, directors, choreographers and related occupations",26220,0,0,0
"247","5132 Conductors, composers and arrangers",3980,0,0,0
"248","5133 Musicians and singers",33465,0,0,0
"249","5134 Dancers",9785,0,0,0
"250","5135 Actors and comedians",12580,0,0,0
"251","5136 Painters, sculptors and other visual artists",19295,0,0,0
"252","5211 Library and public archive technicians",10110,0,0,0
"253","5212 Technical occupations related to museums and art galleries",8535,0,0,0
"254","5221 Photographers",17060,0,0,0
"255","5222 Film and video camera operators",5180,0,0,0
"256","5223 Graphic arts technicians",8930,0,0,0
"257","5224 Broadcast technicians",2150,1,1,0
"258","5225 Audio and video recording technicians",12980,1,0,1
"259","5226 Other technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",15050,0,0,0
"260","5227 Support occupations in motion pictures, broadcasting, photography and the performing arts",10790,0,0,0
"261","5231 Announcers and other broadcasters",5905,0,0,0
"262","5232 Other performers, n.e.c.",6365,0,0,0
"263","5241 Graphic designers and illustrators",60105,0,0,0
"264","5242 Interior designers and interior decorators",24565,0,0,0
"265","5243 Theatre, fashion, exhibit and other creative designers",14180,0,0,0
"266","5244 Artisans and craftspersons",13815,0,0,0
"267","5245 Patternmakers - textile, leather and fur products",1015,0,0,0
"268","5251 Athletes",2795,0,0,0
"269","5252 Coaches",10795,0,0,0
"270","5253 Sports officials and referees",4610,0,0,0
"271","5254 Program leaders and instructors in recreation, sport and fitness",141865,0,0,0
"272","6211 Retail sales supervisors",65715,0,0,0
"273","6221 Technical sales specialists - wholesale trade",77830,0,0,0
"274","6222 Retail and wholesale buyers",36925,0,0,0
"275","6231 Insurance agents and brokers",70500,0,0,0
"276","6232 Real estate agents and salespersons",88525,0,0,0
"277","6235 Financial sales representatives",63205,0,0,0
"278","6311 Food service supervisors",43095,0,0,0
"279","6312 Executive housekeepers",3905,0,0,0
"280","6313 Accommodation, travel, tourism and related services supervisors",5045,0,0,0
"281","6314 Customer and information services supervisors",11955,0,0,0
"282","6315 Cleaning supervisors",11670,0,0,0
"283","6316 Other services supervisors",15570,0,0,0
"284","6321 Chefs",61005,0,0,0
"285","6322 Cooks",230970,0,0,0
"286","6331 Butchers, meat cutters and fishmongers - retail and wholesale",19850,0,0,0
"287","6332 Bakers",44365,0,0,0
"288","6341 Hairstylists and barbers",99825,0,0,0
"289","6342 Tailors, dressmakers, furriers and milliners",16775,0,0,0
"290","6343 Shoe repairers and shoemakers",1385,0,0,0
"291","6344 Jewellers, jewellery and watch repairers and related occupations",4800,0,0,0
"292","6345 Upholsterers",5115,0,0,0
"293","6346 Funeral directors and embalmers",4840,0,0,0
"294","6411 Sales and account representatives - wholesale trade (non-technical)",111665,0,0,0
"295","6421 Retail salespersons",702890,0,0,0
"296","6511 Maîtres d'hôtel and hosts/hostesses",30180,0,0,0
"297","6512 Bartenders",42580,0,0,0
"298","6513 Food and beverage servers",240415,0,0,0
"299","6521 Travel counsellors",25015,0,0,0
"300","6522 Pursers and flight attendants",15990,0,0,0
"301","6523 Airline ticket and service agents",13650,0,0,0
"302","6524 Ground and water transport ticket agents, cargo service representatives and related clerks",3270,0,0,0
"303","6525 Hotel front desk clerks",23110,0,0,0
"304","6531 Tour and travel guides",5715,0,0,0
"305","6532 Outdoor sport and recreational guides",4945,0,0,0
"306","6533 Casino occupations",13665,0,0,0
"307","6541 Security guards and related security service occupations",124070,0,0,0
"308","6551 Customer services representatives - financial institutions",79210,0,0,0
"309","6552 Other customer and information services representatives",221230,0,0,0
"310","6561 Image, social and other personal consultants",2850,0,0,0
"311","6562 Estheticians, electrologists and related occupations",57130,0,0,0
"312","6563 Pet groomers and animal care workers",23465,0,0,0
"313","6564 Other personal service occupations",2260,0,0,0
"314","6611 Cashiers",364095,0,0,0
"315","6621 Service station attendants",18870,0,0,0
"316","6622 Store shelf stockers, clerks and order fillers",189935,0,0,0
"317","6623 Other sales related occupations",43290,0,0,0
"318","6711 Food counter attendants, kitchen helpers and related support occupations",405770,0,0,0
"319","6721 Support occupations in accommodation, travel and facilities set-up services",6000,0,0,0
"320","6722 Operators and attendants in amusement, recreation and sport",37820,0,0,0
"321","6731 Light duty cleaners",255785,0,0,0
"322","6732 Specialized cleaners",44940,0,0,0
"323","6733 Janitors, caretakers and building superintendents",230975,0,0,0
"324","6741 Dry cleaning, laundry and related occupations",21950,0,0,0
"325","6742 Other service support occupations, n.e.c.",30735,0,0,0
"326","7201 Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations",15365,0,0,0
"327","7202 Contractors and supervisors, electrical trades and telecommunications occupations",17800,0,0,0
"328","7203 Contractors and supervisors, pipefitting trades",6400,0,0,0
"329","7204 Contractors and supervisors, carpentry trades",19190,0,0,0
"330","7205 Contractors and supervisors, other construction trades, installers, repairers and servicers",37125,0,0,0
"331","7231 Machinists and machining and tooling inspectors",39715,0,0,0
"332","7232 Tool and die makers",11665,0,0,0
"333","7233 Sheet metal workers",21000,0,0,0
"334","7234 Boilermakers",4435,0,0,0
"335","7235 Structural metal and platework fabricators and fitters",6070,0,0,0
"336","7236 Ironworkers",15270,0,0,0
"337","7237 Welders and related machine operators",97665,0,0,0
"338","7241 Electricians (except industrial and power system)",95970,0,0,0
"339","7242 Industrial electricians",30405,0,0,0
"340","7243 Power system electricians",6425,0,0,0
"341","7244 Electrical power line and cable workers",13040,0,0,0
"342","7245 Telecommunications line and cable workers",10675,1,1,0
"343","7246 Telecommunications installation and repair workers",27540,1,1,0
"344","7247 Cable television service and maintenance technicians",1855,1,0,1
"345","7251 Plumbers",52475,0,0,0
"346","7252 Steamfitters, pipefitters and sprinkler system installers",23785,0,0,0
"347","7253 Gas fitters",7320,0,0,0
"348","7271 Carpenters",164460,0,0,0
"349","7272 Cabinetmakers",18545,0,0,0
"350","7281 Bricklayers",19050,0,0,0
"351","7282 Concrete finishers",11920,0,0,0
"352","7283 Tilesetters",9970,0,0,0
"353","7284 Plasterers, drywall installers and finishers and lathers",28705,0,0,0
"354","7291 Roofers and shinglers",22480,0,0,0
"355","7292 Glaziers",9970,0,0,0
"356","7293 Insulators",11070,0,0,0
"357","7294 Painters and decorators (except interior decorators)",46930,0,0,0
"358","7295 Floor covering installers",15045,0,0,0
"359","7301 Contractors and supervisors, mechanic trades",23330,0,0,0
"360","7302 Contractors and supervisors, heavy equipment operator crews",38595,0,0,0
"361","7303 Supervisors, printing and related occupations",2995,0,0,0
"362","7304 Supervisors, railway transport operations",2085,0,0,0
"363","7305 Supervisors, motor transport and other ground transit operators",9195,0,0,0
"364","7311 Construction millwrights and industrial mechanics",75180,0,0,0
"365","7312 Heavy-duty equipment mechanics",40450,0,0,0
"366","7313 Heating, refrigeration and air conditioning mechanics",25655,0,0,0
"367","7314 Railway carmen/women",2700,0,0,0
"368","7315 Aircraft mechanics and aircraft inspectors",17475,0,0,0
"369","7316 Machine fitters",2490,0,0,0
"370","7318 Elevator constructors and mechanics",5380,0,0,0
"371","7321 Automotive service technicians, truck and bus mechanics and mechanical repairers",154720,0,0,0
"372","7322 Motor vehicle body repairers",29175,0,0,0
"373","7331 Oil and solid fuel heating mechanics",2695,0,0,0
"374","7332 Appliance servicers and repairers",7250,0,0,0
"375","7333 Electrical mechanics",9735,0,0,0
"376","7334 Motorcycle, all-terrain vehicle and other related mechanics",5805,0,0,0
"377","7335 Other small engine and small equipment repairers",3190,0,0,0
"378","7361 Railway and yard locomotive engineers",4835,0,0,0
"379","7362 Railway conductors and brakemen/women",5210,0,0,0
"380","7371 Crane operators",15540,0,0,0
"381","7372 Drillers and blasters - surface mining, quarrying and construction",2640,0,0,0
"382","7373 Water well drillers",845,0,0,0
"383","7381 Printing press operators",17015,0,0,0
"384","7384 Other trades and related occupations, n.e.c.",12670,0,0,0
"385","7441 Residential and commercial installers and servicers",49295,0,0,0
"386","7442 Waterworks and gas maintenance workers",5390,0,0,0
"387","7444 Pest controllers and fumigators",4100,0,0,0
"388","7445 Other repairers and servicers",15290,0,0,0
"389","7451 Longshore workers",7140,0,0,0
"390","7452 Material handlers",191000,0,0,0
"391","7511 Transport truck drivers",314905,0,0,0
"392","7512 Bus drivers, subway operators and other transit operators",95725,0,0,0
"393","7513 Taxi and limousine drivers and chauffeurs",57210,0,0,0
"394","7514 Delivery and courier service drivers",93325,0,0,0
"395","7521 Heavy equipment operators (except crane)",95755,0,0,0
"396","7522 Public works maintenance equipment operators and related workers",26540,0,0,0
"397","7531 Railway yard and track maintenance workers",6395,0,0,0
"398","7532 Water transport deck and engine room crew",4800,0,0,0
